Fin-dex,PD#PN,Section,Slug,Status,Chars,Est_Cost_USD,Quota_Impact_%,COMMAND
0511,BM.AA.014,12 - Bhāvanā (Meditation),12-key-factors-to-be-considered-when-meditating-for-the-sotapanna-stage,PENDING,14211,0.2842,2.84%,
0513,AB.GG.002,13 - Abhidhamma,immoral-deeds-ditthi-is-key,PENDING,13450,0.269,2.69%,
0514,AB.GG.003,13 - Abhidhamma,key-to-sotapanna-stage-ditthi-and-vicikicca,PENDING,13018,0.2604,2.6%,
0515,TS.AA.000,08 - Tables and Summaries,tables-and-summaries,PENDING,367,0.0073,0.07%,
0516,TS.AA.001,08 - Tables and Summaries,pali-glossary-a-k,PENDING,1847,0.0369,0.37%,
0517,TS.AA.002,08 - Tables and Summaries,pali-glossary-l-z,PENDING,1848,0.037,0.37%,
0518,TS.AA.003,08 - Tables and Summaries,list-of-san-words-and-other-pali-roots,PENDING,3816,0.0763,0.76%,
0519,TS.AA.004,08 - Tables and Summaries,89-or-121-citta,PENDING,8660,0.1732,1.73%,
0520,TS.AA.005,08 - Tables and Summaries,cetasika-mental-factors,PENDING,6164,0.1233,1.23%,
0521,TS.AA.006,08 - Tables and Summaries,rupa-material-form,PENDING,5779,0.1156,1.16%,
0522,TS.AA.007,08 - Tables and Summaries,rupa-generation-mechanisms,PENDING,2439,0.0488,0.49%,
0523,TS.AA.008,08 - Tables and Summaries,rupa-kalapas-grouping-of-matter,PENDING,8608,0.1722,1.72%,
0524,TS.AA.009,08 - Tables and Summaries,akusala-citta-and-akusala-vipaka-citta,PENDING,6649,0.133,1.33%,
0525,TS.AA.010,08 - Tables and Summaries,37-factors-of-enlightenment,PENDING,3125,0.0625,0.62%,
0526,TS.AA.011,08 - Tables and Summaries,four-stages-of-nibbana,PENDING,4526,0.0905,0.91%,
0527,TS.AA.012,08 - Tables and Summaries,ultimate-realities-table,PENDING,2139,0.0428,0.43%,
0528,TS.AA.013,08 - Tables and Summaries,31-realms-of-existence,PENDING,4265,0.0853,0.85%,
0529,PS.AA.000,09 - Paṭicca Samuppāda,paticca-samuppada,PENDING,1023,0.0205,0.2%,
0530,PS.AA.001,09 - Paṭicca Samuppāda,paticca-samuppada-introduction,PENDING,9064,0.1813,1.81%,
0531,PS.AA.002,09 - Paṭicca Samuppāda,paticca-samuppada-causes-and-effects-introduction,PENDING,5543,0.1109,1.11%,
0550,PS.BB.002,09 - Paṭicca Samuppāda,nibbana-ragakkhaya-dosakkhaya-mohakkhaya-part-1,PENDING,10834,0.2167,2.17%,
0553,PS.BB.003,09 - Paṭicca Samuppāda,panca-nivarana-and-sensual-pleasures-kama-raga,PENDING,9836,0.1967,1.97%,
0555,PS.BB.005,09 - Paṭicca Samuppāda,iccha-tanha-kama-root-causes-of-suffering,PENDING,12541,0.2508,2.51%,
0556,SI.CC.003,17 - Sutta Interpretations,essence-of-buddhism-in-the-first-sutta,PENDING,13194,0.2639,2.64%,
0557,PS.BB.006,09 - Paṭicca Samuppāda,jati-different-types-of-births,PENDING,12323,0.2465,2.46%,
0558,PS.BB.007,09 - Paṭicca Samuppāda,bhava-kammic-energy-that-can-power-an-existence,PENDING,10064,0.2013,2.01%,
0559,PS.BB.008,09 - Paṭicca Samuppāda,bhava-and-punabbhava-kammic-energy-giving-rise-to-renewed-existence,PENDING,6822,0.1364,1.36%,
0560,PS.CC.001,09 - Paṭicca Samuppāda,concepts-of-upadana-and-upadanakkhandha,PENDING,346,0.0069,0.07%,
0561,PS.CC.002,09 - Paṭicca Samuppāda,loka-sutta-origin-and-cessation-of-the-world,PENDING,14817,0.2963,2.96%,
0562,PS.CC.003,09 - Paṭicca Samuppāda,dukkha-samudaya-starts-with-samphassa-ja-vedana,PENDING,10176,0.2035,2.04%,
0563,PS.CC.004,09 - Paṭicca Samuppāda,key-steps-of-kammic-energy-accumulation,PENDING,11304,0.2261,2.26%,
0564,PS.CC.005,09 - Paṭicca Samuppāda,generating-kammic-energy-in-the-upadana-paccaya-bhava-step,PENDING,12975,0.2595,2.6%,
0565,PS.CC.006,09 - Paṭicca Samuppāda,vinnana-paccaya-namarupa,PENDING,9721,0.1944,1.94%,
0566,PS.CC.007,09 - Paṭicca Samuppāda,namarupa-paccaya-salayatana,PENDING,9107,0.1821,1.82%,
0568,PS.DD.001,09 - Paṭicca Samuppāda,kamma-and-paticca-samuppada,PENDING,284,0.0057,0.06%,
0570,PS.DD.003,09 - Paṭicca Samuppāda,dhamma-and-dhamma-different-but-related,PENDING,11954,0.2391,2.39%,
0572,PS.DD.005,09 - Paṭicca Samuppāda,where-are-memories-stored-vinnana-dhatu,PENDING,12717,0.2543,2.54%,
0575,PS.EE.001,09 - Paṭicca Samuppāda,paticca-samuppada-tilakkhana-four-noble-truths,PENDING,617,0.0123,0.12%,
0577,PS.EE.002,09 - Paṭicca Samuppāda,paticca-samuppada-introduction,PENDING,9064,0.1813,1.81%,
0578,PS.EE.003,09 - Paṭicca Samuppāda,what-did-the-buddha-mean-by-a-loka,PENDING,11811,0.2362,2.36%,
0579,PS.EE.004,09 - Paṭicca Samuppāda,future-suffering-loka-dukkha-samudaya-starts-with-sensory-input-arammana,PENDING,11337,0.2267,2.27%,
0580,PS.EE.005,09 - Paṭicca Samuppāda,sotapanna-one-with-the-wider-worldview-of-the-buddha,PENDING,13165,0.2633,2.63%,
0581,PS.EE.006,09 - Paṭicca Samuppāda,sotapanna-just-starting-on-the-noble-path,PENDING,12595,0.2519,2.52%,
0582,PS.EE.007,09 - Paṭicca Samuppāda,yoniso-manasikara-and-paticca-samuppada,PENDING,10801,0.216,2.16%,
0583,PS.EE.008,09 - Paṭicca Samuppāda,dhamma-different-meanings-depending-on-the-context,PENDING,12770,0.2554,2.55%,
0584,PS.EE.009,09 - Paṭicca Samuppāda,dhammanudhamma-patipatti-connection-to-paticca-samuppada-tilakkhana,PENDING,9823,0.1965,1.96%,
0586,PS.EE.010,09 - Paṭicca Samuppāda,where-are-memories-stored-connection-to-pancakkhandha,PENDING,10803,0.2161,2.16%,
0588,PS.FF.001,09 - Paṭicca Samuppāda,sakkaya-ditthi-and-paticca-samuppada,PENDING,336,0.0067,0.07%,
0589,PS.FF.002,09 - Paṭicca Samuppāda,sakkaya-ditthi-wrong-view-of-me-and-mine,PENDING,12671,0.2534,2.53%,
0591,PS.FF.004,09 - Paṭicca Samuppāda,anatta-and-sakkaya-ditthi-two-different-concepts,PENDING,9356,0.1871,1.87%,
0592,PS.GG.001,09 - Paṭicca Samuppāda,understanding-the-terms-in-paticca-samuppada,PENDING,339,0.0068,0.07%,
0594,PS.GG.003,09 - Paṭicca Samuppāda,sankhara-many-meanings,PENDING,379,0.0076,0.08%,
0595,PS.GG.004,09 - Paṭicca Samuppāda,sae1b985khara-an-introduction,PENDING,14322,0.2864,2.86%,
0596,PS.GG.005,09 - Paṭicca Samuppāda,sankhara-should-not-be-translated-as-a-single-word,PENDING,12778,0.2556,2.56%,
0598,PS.GG.006,09 - Paṭicca Samuppāda,kamma-and-sankhara-cetana-and-sancetana,PENDING,11710,0.2342,2.34%,
0599,PS.GG.007,09 - Paṭicca Samuppāda,kusala-mula-sankhara-needed-to-attain-nibbana,PENDING,14772,0.2954,2.95%,
0600,PS.GG.008,09 - Paṭicca Samuppāda,rebirths-take-place-according-to-abhisankhara,PENDING,10240,0.2048,2.05%,
0603,PS.GG.009,09 - Paṭicca Samuppāda,vinnana-two-critical-meanings,PENDING,259,0.0052,0.05%,
0606,PS.GG.010,09 - Paṭicca Samuppāda,abhisankhara-lead-to-kamma-vinnana,PENDING,11868,0.2374,2.37%,
0607,PS.GG.011,09 - Paṭicca Samuppāda,two-types-of-kamma-vinnana,PENDING,9570,0.1914,1.91%,
0608,PS.GG.012,09 - Paṭicca Samuppāda,summary-of-key-concepts-about-vinnana-and-sankhara,PENDING,9254,0.1851,1.85%,
0609,PS.GG.013,09 - Paṭicca Samuppāda,anidassana-appatigha-rupa-due-to-anidassana-vinnana,PENDING,17185,0.3437,3.44%,
0610,PS.GG.014,09 - Paṭicca Samuppāda,memory-dhamma-and-vinnana-dhatu,PENDING,225,0.0045,0.04%,
0611,PS.GG.015,09 - Paṭicca Samuppāda,critical-influence-of-wrong-views-on-akusala-citta,PENDING,7332,0.1466,1.47%,
0612,PS.GG.016,09 - Paṭicca Samuppāda,near-death-experiences-nde-brain-is-not-the-mind,PENDING,8956,0.1791,1.79%,
0613,PS.GG.017,09 - Paṭicca Samuppāda,gandhabba-mental-body-separating-from-physical-body-in-jhana,PENDING,10948,0.219,2.19%,
0615,PS.GG.018,09 - Paṭicca Samuppāda,citta-vithi-fundamental-sensory-unit,PENDING,12733,0.2547,2.55%,
0616,PS.GG.019,09 - Paṭicca Samuppāda,does-any-object-rupa-last-only-17-thought-moments,PENDING,8000,0.16,1.6%,
0618,PS.GG.021,09 - Paṭicca Samuppāda,pancupadanakkhandha-arises-with-an-arammana,PENDING,13939,0.2788,2.79%,
0619,PS.HH.001,09 - Paṭicca Samuppāda,paticca-samuppada-cycles,PENDING,176,0.0035,0.04%,
0620,PS.HH.002,09 - Paṭicca Samuppāda,idappaccayata-paticca-samuppada,PENDING,12042,0.2408,2.41%,
0621,PS.HH.003,09 - Paṭicca Samuppāda,avyakata-paticca-samuppada-for-vipaka-vinnana,PENDING,16539,0.3308,3.31%,
0622,PS.HH.004,09 - Paṭicca Samuppāda,akusala-mula-upapatti-paticca-samuppada,PENDING,10048,0.201,2.01%,
0623,PS.AA.006,09 - Paṭicca Samuppāda,how-we-create-our-own-rebirths,PENDING,11275,0.2255,2.25%,
0624,PS.II.001,09 - Paṭicca Samuppāda,paticca-samuppada-in-plain-english,PENDING,452,0.009,0.09%,
0625,PS.II.002,09 - Paṭicca Samuppāda,introduction-what-is-suffering,PENDING,15316,0.3063,3.06%,
0626,PS.II.003,09 - Paṭicca Samuppāda,introduction-2-the-three-categories-of-suffering,PENDING,12303,0.2461,2.46%,
0627,PS.II.004,09 - Paṭicca Samuppāda,avijja-paccaya-sankhara,PENDING,9407,0.1881,1.88%,
0628,PS.II.005,09 - Paṭicca Samuppāda,sankhara-paccaya-vinnana-1,PENDING,11138,0.2228,2.23%,
0629,PS.II.006,09 - Paṭicca Samuppāda,sankhara-paccaya-vinnana-2,PENDING,6151,0.123,1.23%,
0632,PS.II.007,09 - Paṭicca Samuppāda,difference-between-phassa-and-samphassa,PENDING,12445,0.2489,2.49%,
0633,PS.II.008,09 - Paṭicca Samuppāda,phassa-paccaya-vedana-to-tanha,PENDING,9148,0.183,1.83%,
0635,PS.II.010,09 - Paṭicca Samuppāda,upadana-paccaya-bhava-two-types-of-bhava,PENDING,13913,0.2783,2.78%,
0636,PS.II.011,09 - Paṭicca Samuppāda,namarupa-vinnae1b987a-dhamma-closely-related,PENDING,12406,0.2481,2.48%,
0637,PS.II.012,09 - Paṭicca Samuppāda,bhava-paccaya-jati-jara-marana,PENDING,16758,0.3352,3.35%,
0638,PS.AA.003,09 - Paṭicca Samuppāda,how-are-paticca-samuppada-cycles-initiated,PENDING,10047,0.2009,2.01%,
0639,PS.AA.004,09 - Paṭicca Samuppāda,what-does-paccaya-mean-in-paticca-samuppada-effect-is-not-guaranteed,PENDING,15039,0.3008,3.01%,
0640,PS.AA.005,09 - Paṭicca Samuppāda,imasmim-sati-idam-hoti,PENDING,12806,0.2561,2.56%,
0643,PS.JJ.001,09 - Paṭicca Samuppāda,patthana-dhamma,PENDING,190,0.0038,0.04%,
0644,PS.JJ.002,09 - Paṭicca Samuppāda,pattana-dhamma-cause-effect-hetu-phala,PENDING,9916,0.1983,1.98%,
0647,PS.JJ.004,09 - Paṭicca Samuppāda,asevana-annamanna-paccaya,PENDING,11785,0.2357,2.36%,
0656,IS.AA.000,10 - Is There a “Self”?,is-there-a-self,PENDING,1955,0.0391,0.39%,
0657,CH.BB.001,23 - Buddhism in Charts,recovering-suffering-free-pure-mind,PENDING,461,0.0092,0.09%,
0658,CH.BB.002,23 - Buddhism in Charts,true-happiness-is-the-absence-of-suffering,PENDING,13917,0.2783,2.78%,
0659,CH.BB.003,23 - Buddhism in Charts,uncovering-the-suffering-free-pabhassara-mind,PENDING,13984,0.2797,2.8%,
0660,CH.BB.004,23 - Buddhism in Charts,each-citta-starts-with-distorted-sanna,PENDING,14369,0.2874,2.87%,
0661,CH.BB.005,23 - Buddhism in Charts,contamination-of-the-human-mind-based-on-a-sensory-input,PENDING,13584,0.2717,2.72%,
0662,CH.BB.006,23 - Buddhism in Charts,contamination-of-a-human-mind-detailed-analysis,PENDING,14177,0.2835,2.84%,
0663,IS.BB.001,10 - Is There a “Self”?,does-anatta-refer-to-a-self,PENDING,1007,0.0201,0.2%,
0664,IS.BB.002,10 - Is There a “Self”?,cognition-modes-sanjanati-vijanati-pajanati-abhijanati,PENDING,13620,0.2724,2.72%,
0665,IS.BB.003,10 - Is There a “Self”?,anicca-nature-chasing-worldly-pleasures-is-pointless,PENDING,9877,0.1975,1.98%,
0666,IS.BB.004,10 - Is There a “Self”?,aniccae1b981-viparie1b987ami-annathabhavi-a-critical-verse,PENDING,14845,0.2969,2.97%,
0667,IS.BB.005,10 - Is There a “Self”?,dukkha-previously-unknown-truth-about-suffering,PENDING,13354,0.2671,2.67%,
0669,IS.BB.007,10 - Is There a “Self”?,atta-as-self-wrong-translation-in-natumhaka-sutta,PENDING,13833,0.2767,2.77%,
0670,IS.BB.008,10 - Is There a “Self”?,attato-samanupassati-to-view-something-to-be-of-value,PENDING,15452,0.309,3.09%,
0671,IS.BB.009,10 - Is There a “Self”?,sanna-vipallasa-distorted-perception,PENDING,11571,0.2314,2.31%,
0672,IS.BB.010,10 - Is There a “Self”?,sanna-all-our-thoughts-arise-with-distorted-sanna,PENDING,12202,0.244,2.44%,
0673,IS.BB.011,10 - Is There a “Self”?,upaya-and-upadana-two-stages-of-attachment,PENDING,12983,0.2597,2.6%,
0674,IS.CC.001,10 - Is There a “Self”?,sensory-experience-basis-of-buddhas-worldview,PENDING,722,0.0144,0.14%,
0702,DP.AA.000,11 - Dhamma and Philosophy,dhamma-and-philosophy,PENDING,194,0.0039,0.04%,
0703,DP.AA.001,11 - Dhamma and Philosophy,dhamma-and-philosophy-introduction,PENDING,6528,0.1306,1.31%,
0704,DP.AA.002,11 - Dhamma and Philosophy,philosophy-of-the-mind,PENDING,8577,0.1715,1.72%,
0705,DP.AA.003,11 - Dhamma and Philosophy,buddha-dhamma-buddhism-religion,PENDING,12529,0.2506,2.51%,
0706,DP.AA.004,11 - Dhamma and Philosophy,the-infinity-problem-in-buddhism,PENDING,11738,0.2348,2.35%,
0707,DP.AA.005,11 - Dhamma and Philosophy,free-will-in-buddhism-connection-to-sankhara,PENDING,14441,0.2888,2.89%,
0708,DP.BB.001,11 - Dhamma and Philosophy,book-reviews,PENDING,173,0.0035,0.03%,
0709,DP.BB.002,11 - Dhamma and Philosophy,why-does-the-world-exist,PENDING,9659,0.1932,1.93%,
0710,DP.BB.003,11 - Dhamma and Philosophy,waking-up-by-sam-harris,PENDING,11667,0.2333,2.33%,
0711,DP.BB.004,11 - Dhamma and Philosophy,the-language-of-god-by-francis-collins,PENDING,5344,0.1069,1.07%,
0712,DP.BB.005,11 - Dhamma and Philosophy,spark-exercise-and-brain-by-john-ratey,PENDING,3245,0.0649,0.65%,
0713,DP.BB.006,11 - Dhamma and Philosophy,the-life-of-the-buddha-by-bhikkhu-nanamoli,PENDING,9061,0.1812,1.81%,
0714,BM.AA.000,12 - Bhāvanā (Meditation),bhavana-meditation,PENDING,1922,0.0384,0.38%,
0716,BM.AA.001,12 - Bhāvanā (Meditation),introduction-to-buddhist-meditation,PENDING,11730,0.2346,2.35%,
0717,BM.AA.002,12 - Bhāvanā (Meditation),the-basics,PENDING,334,0.0067,0.07%,
0718,BM.AA.003,12 - Bhāvanā (Meditation),the-second-level,PENDING,11591,0.2318,2.32%,
0719,BM.AA.004,12 - Bhāvanā (Meditation),vipassana-vidassana-bhavana-insight-meditation,PENDING,8418,0.1684,1.68%,
0720,BM.AA.005,12 - Bhāvanā (Meditation),ariya-metta-bhavana,PENDING,8774,0.1755,1.75%,
0721,BM.AA.006,12 - Bhāvanā (Meditation),anapanasati-bhavana-introduction,PENDING,6159,0.1232,1.23%,
0722,BM.AA.007,12 - Bhāvanā (Meditation),what-is-anapana,PENDING,10048,0.201,2.01%,
0723,BM.AA.008,12 - Bhāvanā (Meditation),anapanasati-not-breath-meditation,PENDING,12148,0.243,2.43%,
0724,BM.AA.009,12 - Bhāvanā (Meditation),the-basic-formal-anapanasati-meditation,PENDING,8613,0.1723,1.72%,
0725,BM.AA.010,12 - Bhāvanā (Meditation),possible-effects-in-meditation-kundalini-awakening,PENDING,12513,0.2503,2.5%,
0726,BM.BB.001,12 - Bhāvanā (Meditation),key-to-anapanasati-how-to-change-habits-and-character-gati,PENDING,920,0.0184,0.18%,
0727,BM.BB.002,12 - Bhāvanā (Meditation),introduction-to-character-or-personality-gathi,PENDING,4666,0.0933,0.93%,
0728,BM.BB.003,12 - Bhāvanā (Meditation),a-broad-view-of-the-person-trying-to-be-a-better-person,PENDING,6378,0.1276,1.28%,
0729,BM.BB.004,12 - Bhāvanā (Meditation),how-character-gathi-leads-to-bhava-and-jati,PENDING,8439,0.1688,1.69%,
0731,BM.AA.011,12 - Bhāvanā (Meditation),karaniya-metta-sutta-metta-bhavana,PENDING,3873,0.0775,0.77%,
0732,BM.AA.012,12 - Bhāvanā (Meditation),10-attaining-the-sotapanna-stage-via-removing-ditthasava,PENDING,15014,0.3003,3.0%,
0733,BM.AA.013,12 - Bhāvanā (Meditation),cultivation-of-satta-bojjhanga,PENDING,15296,0.3059,3.06%,
0735,BM.AA.015,12 - Bhāvanā (Meditation),13-kammatthana-recitations-for-the-sotapanna-stage,PENDING,14771,0.2954,2.95%,
0736,BM.CC.001,12 - Bhāvanā (Meditation),meditation-deeper-aspects,PENDING,690,0.0138,0.14%,
0737,BM.CC.002,12 - Bhāvanā (Meditation),vipassana-buddhist-meditation,PENDING,12005,0.2401,2.4%,
0739,BM.CC.003,12 - Bhāvanā (Meditation),mind-operates-like-a-machine-according-to-natures-laws,PENDING,14724,0.2945,2.94%,
0741,BM.CC.004,12 - Bhāvanā (Meditation),sanna-gives-rise-to-most-of-the-vedana-we-experience,PENDING,14896,0.2979,2.98%,
0742,BM.CC.005,12 - Bhāvanā (Meditation),attaining-nibbana-requires-understanding-buddhas-worldview,PENDING,11884,0.2377,2.38%,
0744,BM.CC.006,12 - Bhāvanā (Meditation),tae1b987ha-result-of-sanna-giving-rise-to-mind-made-vedana,PENDING,15817,0.3163,3.16%,
0749,BM.CC.007,12 - Bhāvanā (Meditation),buddhist-theory-of-matter-fundamentals,PENDING,12103,0.2421,2.42%,
0751,BM.DD.002,12 - Bhāvanā (Meditation),anussati-anupassana-mindset-technique,PENDING,9612,0.1922,1.92%,
0752,BM.DD.003,12 - Bhāvanā (Meditation),myths-about-meditation,PENDING,14075,0.2815,2.81%,
0753,BM.DD.004,12 - Bhāvanā (Meditation),simple-way-enhance-merits-kusala,PENDING,9204,0.1841,1.84%,
0756,BM.DD.005,12 - Bhāvanā (Meditation),samadhi-jhana-magga-phala,PENDING,358,0.0072,0.07%,
0757,BM.DD.006,12 - Bhāvanā (Meditation),samadhi-three-kinds-of-mindfulness,PENDING,7954,0.1591,1.59%,
0758,BM.DD.007,12 - Bhāvanā (Meditation),sotapanna-anugami-getting-to-samadhi-via-formal-mediation-sessions,PENDING,13780,0.2756,2.76%,
0759,BM.DD.008,12 - Bhāvanā (Meditation),are-you-not-getting-expected-results-from-meditation,PENDING,16224,0.3245,3.24%,
0760,AB.AA.000,13 - Abhidhamma,abhidhamma,PENDING,1870,0.0374,0.37%,
0761,AB.BB.001,13 - Abhidhamma,abhidhamma-introduction,PENDING,13927,0.2785,2.79%,
0762,AB.BB.002,13 - Abhidhamma,essential-abhidhamma-the-basics,PENDING,392,0.0078,0.08%,
0764,AB.BB.004,13 - Abhidhamma,amazing-mind-namagotta-memories,PENDING,11144,0.2229,2.23%,
0765,AB.BB.005,13 - Abhidhamma,citta-and-cetasika-how-vinnana-consciousness-arises,PENDING,10846,0.2169,2.17%,
0766,AB.BB.006,13 - Abhidhamma,state-of-mind-in-absence-of-citta-vithi,PENDING,13181,0.2636,2.64%,
0768,AB.BB.008,13 - Abhidhamma,citta-vithi-processing-sense-inputs,PENDING,15652,0.313,3.13%,
0769,AB.BB.009,13 - Abhidhamma,javana-of-a-citta-the-root-of-mental-power,PENDING,10297,0.2059,2.06%,
0770,AB.BB.010,13 - Abhidhamma,cetasika-connection-to-gati,PENDING,12242,0.2448,2.45%,
0771,AB.CC.001,13 - Abhidhamma,the-mind,PENDING,273,0.0055,0.05%,
0773,AB.CC.003,13 - Abhidhamma,what-is-a-thought,PENDING,13125,0.2625,2.62%,
0774,AB.CC.004,13 - Abhidhamma,what-is-in-a-thought-why-gathi-are-so-important,PENDING,12254,0.2451,2.45%,
0776,AB.CC.005,13 - Abhidhamma,thoughts-citta-consciousness-vinnana-and-mind-hadaya-vatthu-introduction,PENDING,8702,0.174,1.74%,
0777,AB.CC.006,13 - Abhidhamma,2-vinnana-consciousness-can-be-of-many-different-types-and-forms,PENDING,9222,0.1844,1.84%,
0778,AB.CC.007,13 - Abhidhamma,3-vinnana-is-not-a-thought-what-is-subconscious,PENDING,9541,0.1908,1.91%,
0779,AB.DD.001,13 - Abhidhamma,gandhabbaya-manomaya-kaya,PENDING,782,0.0156,0.16%,
0780,AB.DD.002,13 - Abhidhamma,gandhabbaya-manomaya-kaya-introduction,PENDING,13673,0.2735,2.73%,
0782,AB.DD.003,13 - Abhidhamma,gandhabba-netherworld-paraloka,PENDING,12168,0.2434,2.43%,
0783,AB.DD.004,13 - Abhidhamma,ghost-in-the-machine-manomaya-kaya,PENDING,13006,0.2601,2.6%,
0784,AB.DD.005,13 - Abhidhamma,manomaya-kaya-gandhabba-and-the-physical-body,PENDING,13722,0.2744,2.74%,
0785,AB.DD.006,13 - Abhidhamma,brain-interface-between-mind-and-body,PENDING,12913,0.2583,2.58%,
0786,AB.DD.007,13 - Abhidhamma,manomaya-kaya-and-out-of-body-experience-obe,PENDING,10464,0.2093,2.09%,
0787,AB.DD.008,13 - Abhidhamma,cuti-patisandhi-an-abhidhamma-description,PENDING,10927,0.2185,2.19%,
0789,AB.EE.001,13 - Abhidhamma,role-of-the-brain-in-human-consciousness,PENDING,101,0.002,0.02%,
0792,AB.FF.001,13 - Abhidhamma,abhidhamma-via-science,PENDING,2854,0.0571,0.57%,
0800,AB.GG.004,13 - Abhidhamma,the-origin-of-matter-suddhatthaka,PENDING,16264,0.3253,3.25%,
0801,AB.GG.005,13 - Abhidhamma,what-are-dhamma-a-deeper-analysis,PENDING,14709,0.2942,2.94%,
0802,AB.GG.006,13 - Abhidhamma,pabhassara-citta-radiant-mind-bhavanga,PENDING,16457,0.3291,3.29%,
0803,HB.AA.000,14 - Historical Background,historical-background,PENDING,952,0.019,0.19%,
0804,HB.AA.001,14 - Historical Background,introduction,PENDING,3691,0.0738,0.74%,
0806,HB.AA.003,14 - Historical Background,counterfeit-buddhism-current-mainstream-buddhism,PENDING,20303,0.4061,4.06%,
0807,HB.AA.004,14 - Historical Background,methods-of-delivery-of-dhamma-by-the-buddha-2,PENDING,3483,0.0697,0.7%,
0808,HB.AA.005,14 - Historical Background,questions-buddha-refused-to-answer,PENDING,8707,0.1741,1.74%,
0809,HB.AA.006,14 - Historical Background,misinterpretations-of-buddha-dhamma,PENDING,6476,0.1295,1.3%,
0810,HB.AA.007,14 - Historical Background,preservation-buddha-dhamma,PENDING,15867,0.3173,3.17%,
0813,HB.AA.010,14 - Historical Background,historical-timeline-of-edward-conze,PENDING,10689,0.2138,2.14%,
0814,HB.AA.011,14 - Historical Background,why-is-it-critical-to-find-the-pure-buddha-dhamma,PENDING,6888,0.1378,1.38%,
0815,HB.AA.012,14 - Historical Background,key-problems-with-mahayana-teachings,PENDING,12723,0.2545,2.54%,
0816,HB.AA.013,14 - Historical Background,saddharma-pundarika-sutra-lotus-sutra-a-focused-analysis,PENDING,12148,0.243,2.43%,
0817,HB.AA.014,14 - Historical Background,what-is-sunyata-emptiness,PENDING,13415,0.2683,2.68%,
0818,HB.AA.015,14 - Historical Background,buddhaghosa-and-visuddhimagga-historical-background,PENDING,15517,0.3103,3.1%,
0819,HB.AA.016,14 - Historical Background,buddhaghosas-visuddhimagga-a-focused-analysis,PENDING,14892,0.2978,2.98%,
0820,HB.AA.017,14 - Historical Background,background-on-the-current-revival-of-buddha-dhamma-2,PENDING,11560,0.2312,2.31%,
0822,HB.AA.019,14 - Historical Background,tipitaka-commentaries-helpful-or-misleading,PENDING,15275,0.3055,3.06%,
0823,BC.AA.000,15 - Buddhist Chanting,buddhist-chanting,PENDING,224,0.0045,0.04%,
0824,BC.AA.001,15 - Buddhist Chanting,buddhist-chanting-introduction,PENDING,2831,0.0566,0.57%,
0825,BC.AA.002,15 - Buddhist Chanting,sadhu-symbolizes-purified-heart,PENDING,4062,0.0812,0.81%,
0826,BC.AA.003,15 - Buddhist Chanting,namaskaraya-homage-to-buddha,PENDING,6333,0.1267,1.27%,
0827,BC.AA.004,15 - Buddhist Chanting,supreme-qualities-of-buddha-dhamma-sangha,PENDING,10686,0.2137,2.14%,
0828,BC.AA.005,15 - Buddhist Chanting,five-precepts-panca-sila-recital,PENDING,2345,0.0469,0.47%,
0829,BC.AA.006,15 - Buddhist Chanting,sutta-chanting-with-pali-text,PENDING,1656,0.0331,0.33%,
0830,DD.AA.000,16 - Dhammapada,dhammapada,PENDING,161,0.0032,0.03%,
0831,DD.AA.001,16 - Dhammapada,manopubbangama-dhamma,PENDING,4118,0.0824,0.82%,
0832,DD.AA.002,16 - Dhammapada,sabba-papassa-akaranam,PENDING,1608,0.0322,0.32%,
0833,DD.AA.003,16 - Dhammapada,appamado-amata-padam,PENDING,4356,0.0871,0.87%,
0834,DD.AA.004,16 - Dhammapada,na-jacca-vasalo-hoti,PENDING,3517,0.0703,0.7%,
0835,DD.AA.005,16 - Dhammapada,arogya-parama-labha,PENDING,5980,0.1196,1.2%,
0836,DD.AA.006,16 - Dhammapada,anicca-vata-sankhara,PENDING,4915,0.0983,0.98%,
0837,DD.AA.007,16 - Dhammapada,atta-hi-attano-natho,PENDING,2259,0.0452,0.45%,
0838,SI.AA.000,17 - Sutta Interpretations,sutta-interpretations,PENDING,1398,0.028,0.28%,
0839,SI.AA.001,17 - Sutta Interpretations,sutta-interpretation-uddesa-niddesa-patiniddesa,PENDING,13520,0.2704,2.7%,
0840,SI.AA.002,17 - Sutta Interpretations,pali-dictionaries-reliability,PENDING,9281,0.1856,1.86%,
0841,SI.AA.003,17 - Sutta Interpretations,nikaya-sutta-pitaka,PENDING,6358,0.1272,1.27%,
0842,SI.AA.004,17 - Sutta Interpretations,sutta-learning-sequence-for-the-present-day,PENDING,10465,0.2093,2.09%,
0843,SI.BB.001,17 - Sutta Interpretations,maha-satipatthana-sutta,PENDING,243,0.0049,0.05%,
0844,SI.BB.002,17 - Sutta Interpretations,satipatthana-sutta-structure,PENDING,11579,0.2316,2.32%,
0845,SI.BB.003,17 - Sutta Interpretations,satipatthana-introduction,PENDING,8522,0.1704,1.7%,
0846,SI.BB.004,17 - Sutta Interpretations,kayanupassana-foundation-iriyapathapabba,PENDING,7235,0.1447,1.45%,
0847,SI.BB.005,17 - Sutta Interpretations,kayanupassana-the-section-on-habits-sampajanapabba,PENDING,6493,0.1299,1.3%,
0848,SI.BB.006,17 - Sutta Interpretations,prerequisites-for-the-satipatthana-bhavana,PENDING,7975,0.1595,1.59%,
